role,favorites,voice_actors,character.mal_id,character.url,character.images.jpg.image_url,character.images.webp.image_url,character.images.webp.small_image_url,character.name
Main,129871,"[{'person': {'mal_id': 67, 'url': 'https://myanimelist.net/people/67/Kappei_Yamaguchi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/74474.jpg?s=c9e38b22b31fa6d4dd9d9a6d633d6cb3'}}, 'name': 'Yamaguchi, Kappei'}, 'language': 'Japanese'}, {'person': {'mal_id': 505, 'url': 'https://myanimelist.net/people/505/Alessandro_Juliani', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/44392.jpg?s=72e470fcd49094518dfb0fe1c1f7a5c2'}}, 'name': 'Juliani, Alessandro'}, 'language': 'English'}, {'person': {'mal_id': 1499, 'url': 'https://myanimelist.net/people/1499/Guillaume_Lebon', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/67052.jpg?s=c5952659949a5f5de0c71005047782c5'}}, 'name': 'Lebon, Guillaume'}, 'language': 'French'}, {'person': {'mal_id': 6112, 'url': 'https://myanimelist.net/people/6112/Julien_Haggége', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/2749.jpg?s=74bb39307a6f797e2af344e03ce4b496'}}, 'name': 'Haggége, Julien'}, 'language': 'German'}, {'person': {'mal_id': 6420, 'url': 'https://myanimelist.net/people/6420/Stefano_Crescentini', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/37231.jpg?s=0064e44a3503b9fcb18199be2b053deb'}}, 'name': 'Crescentini, Stefano'}, 'language': 'Italian'}, {'person': {'mal_id': 7857, 'url': 'https://myanimelist.net/people/7857/Ottó_Viczián', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/55386.jpg?s=033ada9f5a42dbc5ef0b71a69546e7ff'}}, 'name': 'Viczián, Ottó'}, 'language': 'Hungarian'}, {'person': {'mal_id': 9612, 'url': 'https://myanimelist.net/people/9612/Sérgio_Cantú', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/67280.jpg?s=1c4f8d49b21aab3312d49ca445290cfc'}}, 'name': 'Cantú, Sérgio'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 14777, 'url': 'https://myanimelist.net/people/14777/Sang_Hyeon_Eom', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/15323.jpg?s=362ac21fb441783652b524bce17ac5d7'}}, 'name': 'Eom, Sang Hyeon'}, 'language': 'Korean'}, {'person': {'mal_id': 24115, 'url': 'https://myanimelist.net/people/24115/Roger_Pera', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/26897.jpg?s=023a3e305bb207b7f09da83ceb96b7db'}}, 'name': 'Pera, Roger'}, 'language': 'Spanish'}, {'person': {'mal_id': 34861, 'url': 'https://myanimelist.net/people/34861/Hugo_Núñez', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/36159.jpg?s=a82b4c081d11aef3aad392b7530a77de'}}, 'name': 'Núñez, Hugo'}, 'language': 'Spanish'}]",71,https://myanimelist.net/character/71/L_Lawliet,https://cdn.myanimelist.net/images/characters/10/249647.jpg?s=95cecc21f3db10318c68a0863f0132c8,https://cdn.myanimelist.net/images/characters/10/249647.webp?s=95cecc21f3db10318c68a0863f0132c8,https://cdn.myanimelist.net/images/characters/10/249647t.webp?s=95cecc21f3db10318c68a0863f0132c8,"Lawliet, L"
Main,12737,"[{'person': {'mal_id': 292, 'url': 'https://myanimelist.net/people/292/Shidou_Nakamura', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/12269.jpg?s=142f0e8f1e4d90db26851df1d2e7b5f1'}}, 'name': 'Nakamura, Shidou'}, 'language': 'Japanese'}, {'person': {'mal_id': 515, 'url': 'https://myanimelist.net/people/515/Brian_Drummond', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/39588.jpg?s=a759ac009ffbae849a262f186ff8fb2f'}}, 'name': 'Drummond, Brian'}, 'language': 'English'}, {'person': {'mal_id': 8404, 'url': 'https://myanimelist.net/people/8404/Gábor_Sótonyi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/5603.jpg?s=576d2f7a3e2f6df6fb6e7e8e2853d25e'}}, 'name': 'Sótonyi, Gábor'}, 'language': 'Hungarian'}, {'person': {'mal_id': 10004, 'url': 'https://myanimelist.net/people/10004/Jorge_Vasconcellos', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/81658.jpg?s=ec945961f0c93bdd53f2dadd076028e8'}}, 'name': 'Vasconcellos, Jorge'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 15301, 'url': 'https://myanimelist.net/people/15301/Jong_Gu_Lee', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/16485.jpg?s=c4db176c35aa2aa40a639fb7033a9414'}}, 'name': 'Lee, Jong Gu'}, 'language': 'Korean'}, {'person': {'mal_id': 17553, 'url': 'https://myanimelist.net/people/17553/Bernd_Kuschmann', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/20139.jpg?s=8bea5f380a8c844296178c08cc0872cb'}}, 'name': 'Kuschmann, Bernd'}, 'language': 'German'}, {'person': {'mal_id': 28667, 'url': 'https://myanimelist.net/people/28667/Emmanuel_Karsen', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/65442.jpg?s=8a3ca512a0fc3148a2b880db99e35cf2'}}, 'name': 'Karsen, Emmanuel'}, 'language': 'French'}, {'person': {'mal_id': 35551, 'url': 'https://myanimelist.net/people/35551/Alessandro_Rossi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/37233.jpg?s=ce93e13cbfa4386e2ae265bb399f56a5'}}, 'name': 'Rossi, Alessandro'}, 'language': 'Italian'}, {'person': {'mal_id': 60964, 'url': 'https://myanimelist.net/people/60964/Rolando_de_Castro', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/71416.jpg?s=f33e2a119aba3823b71885fb249fbb76'}}, 'name': 'de Castro, Rolando'}, 'language': 'Spanish'}, {'person': {'mal_id': 79665, 'url': 'https://myanimelist.net/people/79665/Jordi_Varela', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/82780.jpg?s=a56da88276854d2dbcdcb3b8da8ec1bc'}}, 'name': 'Varela, Jordi'}, 'language': 'Spanish'}]",75,https://myanimelist.net/character/75/Ryuk,https://cdn.myanimelist.net/images/characters/10/59125.jpg?s=e258ccc6e6f6ed00c837b5ae8bced941,https://cdn.myanimelist.net/images/characters/10/59125.webp?s=e258ccc6e6f6ed00c837b5ae8bced941,https://cdn.myanimelist.net/images/characters/10/59125t.webp?s=e258ccc6e6f6ed00c837b5ae8bced941,Ryuk
Main,98839,"[{'person': {'mal_id': 65, 'url': 'https://myanimelist.net/people/65/Mamoru_Miyano', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/66414.jpg?s=8880db148c2eb5fffd3724f381eec784'}}, 'name': 'Miyano, Mamoru'}, 'language': 'Japanese'}, {'person': {'mal_id': 370, 'url': 'https://myanimelist.net/people/370/Brad_Swaile', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/3655.jpg?s=ef6f2dea1e695280aa97bea13daecd0b'}}, 'name': 'Swaile, Brad'}, 'language': 'English'}, {'person': {'mal_id': 1655, 'url': 'https://myanimelist.net/people/1655/Kim_Hasper', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/2329.jpg?s=f7e3d477e8aeae9dc9e24bb97118c392'}}, 'name': 'Hasper, Kim'}, 'language': 'German'}, {'person': {'mal_id': 6499, 'url': 'https://myanimelist.net/people/6499/Yeong_Seon_Kim', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/3397.jpg?s=71b6163ba268592e939307c4e235beee'}}, 'name': 'Kim, Yeong Seon'}, 'language': 'Korean'}, {'person': {'mal_id': 6868, 'url': 'https://myanimelist.net/people/6868/Flavio_Aquilone', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/22297.jpg?s=693786cc6e77d7add37141a0499012b5'}}, 'name': 'Aquilone, Flavio'}, 'language': 'Italian'}, {'person': {'mal_id': 7874, 'url': 'https://myanimelist.net/people/7874/Krisztián_Kolovratnik', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/5108.jpg?s=94f61e126ad1a6c738f3087987342718'}}, 'name': 'Kolovratnik, Krisztián'}, 'language': 'Hungarian'}, {'person': {'mal_id': 9627, 'url': 'https://myanimelist.net/people/9627/Sergio_Zamora', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/7238.jpg?s=833c9f9a0bd79dd1fc14e03d8baf3c18'}}, 'name': 'Zamora, Sergio'}, 'language': 'Spanish'}, {'person': {'mal_id': 10003, 'url': 'https://myanimelist.net/people/10003/José_Leonardo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/81662.jpg?s=aef4f3de3829463231060a636e391d12'}}, 'name': 'Leonardo, José'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 13583, 'url': 'https://myanimelist.net/people/13583/Alexis_Tomassian', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/86063.jpg?s=50649bb5ff8e3b8f2bfbb6a81c0b99e8'}}, 'name': 'Tomassian, Alexis'}, 'language': 'French'}, {'person': {'mal_id': 16673, 'url': 'https://myanimelist.net/people/16673/Manuel_Campuzano', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/86309.jpg?s=5a323b8665bd862d208ef90f24cf9587'}}, 'name': 'Campuzano, Manuel'}, 'language': 'Spanish'}]",80,https://myanimelist.net/character/80/Light_Yagami,https://cdn.myanimelist.net/images/characters/6/63870.jpg?s=3adaed92c13123a9649ccc0cc6551f7d,https://cdn.myanimelist.net/images/characters/6/63870.webp?s=3adaed92c13123a9649ccc0cc6551f7d,https://cdn.myanimelist.net/images/characters/6/63870t.webp?s=3adaed92c13123a9649ccc0cc6551f7d,"Yagami, Light"
Supporting,2,"[{'person': {'mal_id': 6285, 'url': 'https://myanimelist.net/people/6285/Moyu_Arishima', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/25555.jpg?s=570f2a729df8eb03e4ceff6c2cdb47cd'}}, 'name': 'Arishima, Moyu'}, 'language': 'Japanese'}, {'person': {'mal_id': 541, 'url': 'https://myanimelist.net/people/541/Shannon_Chan-Kent', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/41569.jpg?s=ada1d43bc20f6a3b5b0b3175d922bbe6'}}, 'name': 'Chan-Kent, Shannon'}, 'language': 'English'}, {'person': {'mal_id': 6128, 'url': 'https://myanimelist.net/people/6128/Kirstin_Hesse', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/2789.jpg?s=65730bb12706ffe66434a95b65836a16'}}, 'name': 'Hesse, Kirstin'}, 'language': 'German'}, {'person': {'mal_id': 20254, 'url': 'https://myanimelist.net/people/20254/Ludovica_Bebi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/22517.jpg?s=bbd20ed74ae697f82c42aab07cff64bd'}}, 'name': 'Bebi, Ludovica'}, 'language': 'Italian'}, {'person': {'mal_id': 11624, 'url': 'https://myanimelist.net/people/11624/Nallely_Solís', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/62678.jpg?s=eefc9c885b25fce8e9f7799b9272f01b'}}, 'name': 'Solís, Nallely'}, 'language': 'Spanish'}, {'person': {'mal_id': 27427, 'url': 'https://myanimelist.net/people/27427/Céline_Rotard', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/29175.jpg?s=b1679d117e1edc0d691196f10ced42dd'}}, 'name': 'Rotard, Céline'}, 'language': 'French'}]",84527,https://myanimelist.net/character/84527/Yumi_Aizawa,https://cdn.myanimelist.net/images/characters/11/206675.jpg?s=4c7b666683ee1f79ce6a727b3aa92f85,https://cdn.myanimelist.net/images/characters/11/206675.webp?s=4c7b666683ee1f79ce6a727b3aa92f85,https://cdn.myanimelist.net/images/characters/11/206675t.webp?s=4c7b666683ee1f79ce6a727b3aa92f85,"Aizawa, Yumi"
Supporting,65,"[{'person': {'mal_id': 63, 'url': 'https://myanimelist.net/people/63/Keiji_Fujiwara', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/57226.jpg?s=9e305f6687d1e7e02a732c8f7fbe58ba'}}, 'name': 'Fujiwara, Keiji'}, 'language': 'Japanese'}, {'person': {'mal_id': 543, 'url': 'https://myanimelist.net/people/543/Trevor_Devall', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/37983.jpg?s=7274e358509913940c4f299eca3c9ff3'}}, 'name': 'Devall, Trevor'}, 'language': 'English'}, {'person': {'mal_id': 8406, 'url': 'https://myanimelist.net/people/8406/Péter_Fehér', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Fehér, Péter'}, 'language': 'Hungarian'}, {'person': {'mal_id': 12231, 'url': 'https://myanimelist.net/people/12231/Andreas_Meese', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/47328.jpg?s=4b036a614d2118f9c43ed91bcaa90d35'}}, 'name': 'Meese, Andreas'}, 'language': 'German'}, {'person': {'mal_id': 14857, 'url': 'https://myanimelist.net/people/14857/Tae_Yeol_Jeon', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/15449.jpg?s=29d57a11cb8acf0c8d99d41fc96541f9'}}, 'name': 'Jeon, Tae Yeol'}, 'language': 'Korean'}, {'person': {'mal_id': 21355, 'url': 'https://myanimelist.net/people/21355/Carlo_Vázquez', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/73460.jpg?s=c594a7171ff6ad7260778482fe685cd5'}}, 'name': 'Vázquez, Carlo'}, 'language': 'Spanish'}, {'person': {'mal_id': 44299, 'url': 'https://myanimelist.net/people/44299/Eduardo_Dascar', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/81543.jpg?s=5e446d57c1339d098f991b6a78a41dff'}}, 'name': 'Dascar, Eduardo'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 8527, 'url': 'https://myanimelist.net/people/8527/Marco_Baroni', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Baroni, Marco'}, 'language': 'Italian'}, {'person': {'mal_id': 56635, 'url': 'https://myanimelist.net/people/56635/Laurent_Larcher', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/67483.jpg?s=0ca1a82a037162ade55abda822883a0b'}}, 'name': 'Larcher, Laurent'}, 'language': 'French'}]",3767,https://myanimelist.net/character/3767/Shuuichi_Aizawa,https://cdn.myanimelist.net/images/characters/4/55515.jpg?s=a9df293e54c36408a5c17b5200e77404,https://cdn.myanimelist.net/images/characters/4/55515.webp?s=a9df293e54c36408a5c17b5200e77404,https://cdn.myanimelist.net/images/characters/4/55515t.webp?s=a9df293e54c36408a5c17b5200e77404,"Aizawa, Shuuichi"
Supporting,0,"[{'person': {'mal_id': 465, 'url': 'https://myanimelist.net/people/465/Shiho_Kawaragi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/79708.jpg?s=673e33a8eb4f3a3dbfd04c38979956a8'}}, 'name': 'Kawaragi, Shiho'}, 'language': 'Japanese'}, {'person': {'mal_id': 12507, 'url': 'https://myanimelist.net/people/12507/Iara_Riça', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/34439.jpg?s=41987f7967b94aadb18a7e4d0d9e32b1'}}, 'name': 'Riça, Iara'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 444, 'url': 'https://myanimelist.net/people/444/Venus_Terzo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/40289.jpg?s=9ce63005269ae4c8508a3f90b558b9cb'}}, 'name': 'Terzo, Venus'}, 'language': 'English'}, {'person': {'mal_id': 1453, 'url': 'https://myanimelist.net/people/1453/Susanne_Dobrusskin', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/1398.jpg?s=765e6a28ad8966ac2a987f043df44486'}}, 'name': 'Dobrusskin, Susanne'}, 'language': 'German'}, {'person': {'mal_id': 60283, 'url': 'https://myanimelist.net/people/60283/Claire_Conty', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/70692.jpg?s=0939f17a2124ad3efba9280ddec5e8ce'}}, 'name': 'Conty, Claire'}, 'language': 'French'}, {'person': {'mal_id': 74384, 'url': 'https://myanimelist.net/people/74384/Cecilia_Airol', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/80499.jpg?s=ffb5c4055ade1ed0d567d93e2714b66c'}}, 'name': 'Airol, Cecilia'}, 'language': 'Spanish'}]",84531,https://myanimelist.net/character/84531/Eriko_Aizawa,https://cdn.myanimelist.net/images/characters/9/206679.jpg?s=e6580fe00d043400733fd69018f96063,https://cdn.myanimelist.net/images/characters/9/206679.webp?s=e6580fe00d043400733fd69018f96063,https://cdn.myanimelist.net/images/characters/9/206679t.webp?s=e6580fe00d043400733fd69018f96063,"Aizawa, Eriko"
Supporting,7166,"[{'person': {'mal_id': 4, 'url': 'https://myanimelist.net/people/4/Aya_Hirano', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/78608.jpg?s=38b29d5c7ac8810fcadb50be79c87eb9'}}, 'name': 'Hirano, Aya'}, 'language': 'Japanese'}, {'person': {'mal_id': 541, 'url': 'https://myanimelist.net/people/541/Shannon_Chan-Kent', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/41569.jpg?s=ada1d43bc20f6a3b5b0b3175d922bbe6'}}, 'name': 'Chan-Kent, Shannon'}, 'language': 'English'}, {'person': {'mal_id': 6101, 'url': 'https://myanimelist.net/people/6101/Magdalena_Turba', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/85537.jpg?s=34e312d404467c7b26f2a9f3fbf7b52f'}}, 'name': 'Turba, Magdalena'}, 'language': 'German'}, {'person': {'mal_id': 7326, 'url': 'https://myanimelist.net/people/7326/Nuria_Trifol', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/87217.jpg?s=68cbd64fa3af4902f7fa8850a97e2967'}}, 'name': 'Trifol, Nuria'}, 'language': 'Spanish'}, {'person': {'mal_id': 8062, 'url': 'https://myanimelist.net/people/8062/Borbála_Csuha', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/5716.jpg?s=7253b323eff5f0e9b0fed112e6201422'}}, 'name': 'Csuha, Borbála'}, 'language': 'Hungarian'}, {'person': {'mal_id': 10604, 'url': 'https://myanimelist.net/people/10604/Rebeca_Gómez', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/73377.jpg?s=317f14bd9eae5fa32c96d55ccd8f4dbe'}}, 'name': 'Gómez, Rebeca'}, 'language': 'Spanish'}, {'person': {'mal_id': 11964, 'url': 'https://myanimelist.net/people/11964/Ana_Lúcia_Menezes', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/63463.jpg?s=0727b582271c12186b1b965559c4ff7f'}}, 'name': 'Menezes, Ana Lúcia'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 14929, 'url': 'https://myanimelist.net/people/14929/Seo-young_Kim', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/15629.jpg?s=8187660ee3e9437c5d4e7a34383dfbad'}}, 'name': 'Kim, Seo-young'}, 'language': 'Korean'}, {'person': {'mal_id': 27777, 'url': 'https://myanimelist.net/people/27777/Charlyne_Pestel', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/69274.jpg?s=318cd3f4fb6489feee237846cc91f44c'}}, 'name': 'Pestel, Charlyne'}, 'language': 'French'}, {'person': {'mal_id': 35553, 'url': 'https://myanimelist.net/people/35553/Germana_Savo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/84052.jpg?s=d5a82be62f0a69ee5c91c3d72f02713a'}}, 'name': 'Savo, Germana'}, 'language': 'Italian'}]",835,https://myanimelist.net/character/835/Misa_Amane,https://cdn.myanimelist.net/images/characters/5/30971.jpg?s=0af596d087b34f6e05942dcae60aebae,https://cdn.myanimelist.net/images/characters/5/30971.webp?s=0af596d087b34f6e05942dcae60aebae,https://cdn.myanimelist.net/images/characters/5/30971t.webp?s=0af596d087b34f6e05942dcae60aebae,"Amane, Misa"
Supporting,1,"[{'person': {'mal_id': 59415, 'url': 'https://myanimelist.net/people/59415/Eduardo_Fonseca', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/70819.jpg?s=049adc8a7b71d20097cd117cca9e2fa7'}}, 'name': 'Fonseca, Eduardo'}, 'language': 'Spanish'}, {'person': {'mal_id': 27541, 'url': 'https://myanimelist.net/people/27541/Michel_Vigné', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/67908.jpg?s=f95ef81df936222b73cd6e365322f681'}}, 'name': 'Vigné, Michel'}, 'language': 'French'}, {'person': {'mal_id': 562, 'url': 'https://myanimelist.net/people/562/Michael_Dobson', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/40856.jpg?s=922666e7eed8c9ecf5ea02acf5edfc3d'}}, 'name': 'Dobson, Michael'}, 'language': 'English'}, {'person': {'mal_id': 6602, 'url': 'https://myanimelist.net/people/6602/Hideyuki_Umezu', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/80554.jpg?s=fac93cd952f05480a0b591335b8637bf'}}, 'name': 'Umezu, Hideyuki'}, 'language': 'Japanese'}, {'person': {'mal_id': 43632, 'url': 'https://myanimelist.net/people/43632/Sérgio_Stern', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/45140.jpg?s=ef797fdaaedcfa354a6567a84355739a'}}, 'name': 'Stern, Sérgio'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 66409, 'url': 'https://myanimelist.net/people/66409/Marcelo_Matos', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/75970.jpg?s=2f01a4ddcccf3e312b83a4d4950e1347'}}, 'name': 'Matos, Marcelo'}, 'language': 'Portuguese (BR)'}]",207498,https://myanimelist.net/character/207498/Armonia_Justin_Beyondormason,https://cdn.myanimelist.net/images/characters/14/467933.jpg?s=97e83aa9a2b8c6cbc2945ed6fe6a81e8,https://cdn.myanimelist.net/images/characters/14/467933.webp?s=97e83aa9a2b8c6cbc2945ed6fe6a81e8,https://cdn.myanimelist.net/images/characters/14/467933t.webp?s=97e83aa9a2b8c6cbc2945ed6fe6a81e8,Armonia Justin Beyondormason
Supporting,0,"[{'person': {'mal_id': 66409, 'url': 'https://myanimelist.net/people/66409/Marcelo_Matos', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/75970.jpg?s=2f01a4ddcccf3e312b83a4d4950e1347'}}, 'name': 'Matos, Marcelo'}, 'language': 'Portuguese (BR)'}]",182770,https://myanimelist.net/character/182770/Kyle_Block,https://cdn.myanimelist.net/images/characters/8/548839.jpg?s=8d99f9a792846341248a97789226578e,https://cdn.myanimelist.net/images/characters/8/548839.webp?s=8d99f9a792846341248a97789226578e,https://cdn.myanimelist.net/images/characters/8/548839t.webp?s=8d99f9a792846341248a97789226578e,"Block, Kyle"
Supporting,11,"[{'person': {'mal_id': 94, 'url': 'https://myanimelist.net/people/94/Akeno_Watanabe', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/17129.jpg?s=02a9b1855eb36607f323a462e42743b5'}}, 'name': 'Watanabe, Akeno'}, 'language': 'Japanese'}, {'person': {'mal_id': 1178, 'url': 'https://myanimelist.net/people/1178/Stéphanie_Lafforgue', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/68567.jpg?s=dafcd87f810a79756a1398d397770464'}}, 'name': 'Lafforgue, Stéphanie'}, 'language': 'French'}, {'person': {'mal_id': 1377, 'url': 'https://myanimelist.net/people/1377/Lisa_Ann_Beley', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/26277.jpg?s=bb0dc8a85805546cf5475a23df53ebc4'}}, 'name': 'Beley, Lisa Ann'}, 'language': 'English'}, {'person': {'mal_id': 14927, 'url': 'https://myanimelist.net/people/14927/Seon_Hye_Kim', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/15627.jpg?s=71cbaa30d0051e945f5c23277211da1e'}}, 'name': 'Kim, Seon Hye'}, 'language': 'Korean'}, {'person': {'mal_id': 45991, 'url': 'https://myanimelist.net/people/45991/Maria_Rosa_Guillén', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/49709.jpg?s=3ecc0fb2e448527447dd704e39b9d221'}}, 'name': 'Guillén, Maria Rosa'}, 'language': 'Spanish'}, {'person': {'mal_id': 6114, 'url': 'https://myanimelist.net/people/6114/Silke_Haupt', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/2753.jpg?s=36763c12eaa6a806de5bffca1ac5d3cd'}}, 'name': 'Haupt, Silke'}, 'language': 'German'}]",3769,https://myanimelist.net/character/3769/Halle_Bullook,https://cdn.myanimelist.net/images/characters/16/58404.jpg?s=02eca6f21dc5e221891b87a7474cb2bb,https://cdn.myanimelist.net/images/characters/16/58404.webp?s=02eca6f21dc5e221891b87a7474cb2bb,https://cdn.myanimelist.net/images/characters/16/58404t.webp?s=02eca6f21dc5e221891b87a7474cb2bb,"Bullook, Halle"
