ï»¿Ano,UF,IBC,Cobertura Pop. 4G5G,Densidade SMP,HHI SMP,Densidade SCM,HHI SCM,Adensamento EstaÃ§Ãµes,Fibra,Cobertura Ã¡rea agricultÃ¡vel
2024,AC,"51,32","77,8452","58,41",59,"33,71",78,"17,20","81,81818","9,4000"
2024,AL,"57,06","88,9117","56,15",67,"21,70",84,"20,40","61,76471","70,4000"
2024,AM,"44,92","81,1721","54,68",59,"33,18",86,"19,17","40,32258","6,3000"
2024,AP,"54,74","89,5615","60,43",67,"49,22",69,"22,05",75,"7,4000"
2024,BA,"54,18","81,3765","57,36",67,"24,81",96,"17,85","66,18705","42,6000"
2024,CE,"64,34","90,3887","56,90",69,"38,65",89,"25,70","84,23913","68,7000"
2024,DF,"77,41","99,6448","71,87",67,"72,84",80,"33,17",100,"83,7000"
2024,ES,"69,64","92,3225","65,31",40,"50,75",91,"34,51","92,30769","80,0000"
2024,GO,"62,29","93,1090","65,78",65,"47,88",93,"22,44","79,26829","39,4000"
2024,MA,"52,36","76,7534","48,03",65,"22,24",95,"16,20","82,48848","31,3000"
2024,MG,"65,79","91,8450","62,16",63,"59,12",95,"28,00","68,34701","67,2000"
2024,MS,"59,51","88,5529","64,12",61,"48,93",92,"22,85","88,60759","15,1000"
2024,MT,"57,56","83,9843","66,53",59,"49,27",92,"24,52","76,59574","15,9000"
2024,PA,"50,52","77,8382","53,87",65,"26,14",94,"16,54","65,27778","25,9000"
2024,PB,"57,86","89,4186","54,94",68,"35,46",82,"22,67","52,9148","71,9000"
2024,PE,"61,44","91,4054","59,09",67,"26,33",95,"21,03","72,43243","73,1000"
2024,PI,"55,71","74,3193","51,60",66,"32,15",94,"21,68","88,83929","31,8000"
2024,PR,"71,88","92,2584","65,83",64,"64,25",94,"26,65","94,23559","73,7000"
2024,RJ,"72,46","98,7050","68,46",68,"51,80",85,"27,81","98,91304","76,8000"
2024,RN,"57,92","91,0864","57,07",68,"48,04",85,"28,13","37,12575","66,6000"
2024,RO,"55,60","76,4461","58,79",54,"44,73",91,"18,50","90,38462","15,9000"
2024,RR,"43,74","76,8407","54,56",61,"25,29",49,"16,95",60,"7,6000"
2024,RS,"69,84","92,3931","63,62",62,"65,30",93,"27,27","86,72032","69,2000"
2024,SC,"75,23","91,4000","68,22",67,"78,57",92,"26,09","99,66102","75,5000"
2024,SE,"63,77","91,9509","59,13",43,"36,89",93,"20,86","81,33333","82,1000"
2024,SP,"75,23","98,9343","72,61",70,"72,30",82,"24,71","95,34884","78,8000"
2024,TO,"51,18","82,5610","60,28",50,"34,42",92,"24,92","53,95683","23,8000"
