ï»¿Ano,UF,IBC,Cobertura Pop. 4G5G,Densidade SMP,HHI SMP,Densidade SCM,HHI SCM,Adensamento EstaÃ§Ãµes,Fibra,Cobertura Ã¡rea agricultÃ¡vel
2024.0,AC,"51,32","0,7785","87,62",5888.0,"13,48",7849.0,"3,44","0,818182","0,0940"
2024.0,AL,"57,06","0,8891","84,23",6715.0,"8,68",8389.0,"4,08","0,617647","0,7040"
2024.0,AM,"44,92","0,8117","82,01",5925.0,"13,27",8553.0,"3,83","0,403226","0,0630"
2024.0,AP,"54,74","0,8956","90,64",6671.0,"19,69",6938.0,"4,41","0,75","0,0740"
2024.0,BA,"54,18","0,8138","86,04",6721.0,"9,92",9626.0,"3,57","0,661871","0,4260"
2024.0,CE,"64,34","0,9039","85,35",6929.0,"15,46",8906.0,"5,14","0,842391","0,6870"
2024.0,DF,"77,41","0,9964","107,81",6672.0,"29,13",8034.0,"6,63",1,"0,8370"
2024.0,ES,"69,64","0,9232","97,96",4048.0,"20,30",9137.0,"6,90","0,923077","0,8000"
2024.0,GO,"62,29","0,9311","98,68",6501.0,"19,15",9262.0,"4,49","0,792683","0,3940"
2024.0,MA,"52,36","0,7675","72,04",6465.0,"8,90",9465.0,"3,24","0,824885","0,3130"
2024.0,MG,"65,79","0,9185","93,24",6315.0,"23,65",9539.0,"5,60","0,68347","0,6720"
2024.0,MS,"59,51","0,8855","96,18",6052.0,"19,57",9158.0,"4,57","0,886076","0,1510"
2024.0,MT,"57,56","0,8398","99,80",5933.0,"19,71",9175.0,"4,90","0,765957","0,1590"
2024.0,PA,"50,52","0,7784","80,81",6512.0,"10,45",9407.0,"3,31","0,652778","0,2590"
2024.0,PB,"57,86","0,8942","82,41",6751.0,"14,18",8228.0,"4,53","0,529148","0,7190"
2024.0,PE,"61,44","0,9141","88,63",6691.0,"10,53",9526.0,"4,21","0,724324","0,7310"
2024.0,PI,"55,71","0,7432","77,41",6571.0,"12,86",9369.0,"4,34","0,888393","0,3180"
2024.0,PR,"71,88","0,9226","98,75",6427.0,"25,70",9362.0,"5,33","0,942356","0,7370"
2024.0,RJ,"72,46","0,9871","102,69",6823.0,"20,72",8476.0,"5,56","0,98913","0,7680"
2024.0,RN,"57,92","0,9109","85,61",6808.0,"19,22",8501.0,"5,63","0,371257","0,6660"
2024.0,RO,"55,60","0,7645","88,19",5356.0,"17,89",9101.0,"3,70","0,903846","0,1590"
2024.0,RR,"43,74","0,7684","81,84",6106.0,"10,12",4888.0,"3,39","0,6","0,0760"
2024.0,RS,"69,84","0,9239","95,43",6193.0,"26,12",9349.0,"5,45","0,867203","0,6920"
2024.0,SC,"75,23","0,9140","102,33",6738.0,"31,43",9172.0,"5,22","0,99661","0,7550"
2024.0,SE,"63,77","0,9195","88,69",4342.0,"14,76",9295.0,"4,17","0,813333","0,8210"
2024.0,SP,"75,23","0,9893","108,92",7007.0,"28,92",8231.0,"4,94","0,953488","0,7880"
2024.0,TO,"51,18","0,8256","90,42",5037.0,"13,77",9203.0,"4,98","0,539568","0,2380"
2023.0,AC,"41,71","0,7804","64,19",4292.0,"8,82",2734.0,"3,67","0,81818181818182",0
2023.0,AL,"42,58","0,9078","58,50",3303.0,"6,65",1669.0,"3,89","0,58823529411765",0
2023.0,AM,"34,20","0,8091","61,56",4105.0,"9,12",1757.0,"3,68","0,37096774193548",0
2023.0,AP,"58,67","0,9005","67,03",3487.0,"15,82",3912.0,"3,57","0,6875",0
2023.0,BA,"43,52","0,8345","61,73",3332.0,"7,90",457.0,"3,64","0,65947242206235",0
2023.0,CE,"59,06","0,9280","59,54",3273.0,"11,56",1357.0,"4,44","0,91304347826087",0
2023.0,DF,"95,24","0,9978","70,16",3339.0,"21,60",2044.0,"7,46",1,0
2023.0,ES,"76,39","0,9429","70,20",5980.0,"15,24",908.0,"6,80","0,92307692307692",0
2023.0,GO,"72,12","0,9324","69,94",3534.0,"14,85",820.0,"4,70","0,83333333333333",0
2023.0,MA,"25,59","0,7810","50,43",3625.0,"6,52",571.0,"3,00","0,70046082949309",0
2023.0,MG,"71,66","0,9338","67,72",3685.0,"17,31",504.0,"5,48","0,65533411488863",0
2023.0,MS,"66,71","0,8844","69,26",3947.0,"14,80",941.0,"4,63","0,83544303797468",0
2023.0,MT,"62,59","0,8382","69,79",4085.0,"14,62",903.0,"4,85","0,76595744680851",0
2023.0,PA,"36,28","0,7875","59,02",3515.0,"7,25",662.0,"3,30","0,71527777777778",0
2023.0,PB,"49,53","0,9248","56,95",3271.0,"11,30",1930.0,"4,13","0,65919282511211",0
2023.0,PE,"56,37","0,9361","64,87",3398.0,"7,91",522.0,"3,96","0,74054054054054",0
2023.0,PI,"31,87","0,7690","54,46",3537.0,"8,66",741.0,"3,98","0,60714285714286",0
2023.0,PR,"78,58","0,9428","68,34",3691.0,"19,16",725.0,"5,16","0,89473684210526",0
2023.0,RJ,"84,42","0,9919","70,63",3263.0,"16,45",1598.0,"5,52",1,0
2023.0,RN,"53,87","0,9239","59,94",3295.0,"14,84",1610.0,"4,57","0,46107784431138",0
2023.0,RO,"51,43","0,7756","67,73",4689.0,"15,16",1176.0,"4,10","0,69230769230769",0
2023.0,RR,"27,92","0,7725","62,86",3954.0,"7,42",6032.0,"3,05","0,53333333333333",0
2023.0,RS,"80,00","0,9428","67,06",3837.0,"20,71",757.0,"5,73","0,87122736418511",0
2023.0,SC,"87,35","0,9463","69,81",3412.0,"23,38",869.0,"5,20","0,9864406779661",0
2023.0,SE,"54,85","0,9428","62,29",5464.0,"11,03",770.0,"4,03","0,8",0
2023.0,SP,"87,29","0,9932","70,33",3044.0,"21,64",1849.0,"4,82","0,95348837209302",0
